zona,duracion_ms,timestamp
NARIZ,599.4,20:25:48
OJOS,160.9,20:25:49
OTRO,302.4,20:25:49
OJOS,743.1,20:25:50
OTRO,437.1,20:25:50
OJOS,153.1,20:25:50
OTRO,5829.3,20:25:56
OJOS,251.6,20:25:56
OTRO,159.3,20:25:57
OJOS,315.8,20:25:57
OTRO,3708.0,20:26:01
OJOS,545.9,20:26:01
OTRO,467.9,20:26:02
OJOS,636.8,20:26:02
OTRO,191.9,20:26:02
OJOS,644.3,20:26:03
OTRO,360.8,20:26:03
OJOS,152.5,20:26:04
OTRO,165.4,20:26:04
BOCA,174.5,20:26:04
OJOS,169.5,20:26:04
OTRO,1401.1,20:26:05
OJOS,331.2,20:26:06
BOCA,250.5,20:26:06
OJOS,318.4,20:26:06
BOCA,147.4,20:26:07
OJOS,468.2,20:26:07
OTRO,1189.4,20:26:08
OJOS,208.4,20:26:08
OTRO,703.3,20:26:09
OJOS,196.4,20:26:09
OTRO,636.2,20:26:10
OJOS,489.4,20:26:10
OTRO,2097.6,20:26:12
OJOS,178.9,20:26:13
OTRO,1002.1,20:26:14
OJOS,166.5,20:26:14
OTRO,9453.3,20:26:23
OJOS,199.1,20:26:23
