zona,duracion_ms,timestamp
OTRO,719.4,20:32:25
OJOS,792.7,20:32:26
OTRO,1619.1,20:32:28
OJOS,181.8,20:32:28
OTRO,234.1,20:32:28
OJOS,462.1,20:32:29
OTRO,157.0,20:32:29
OJOS,168.6,20:32:29
OTRO,11092.4,20:32:40
OJOS,189.4,20:32:40
OTRO,179.8,20:32:40
OJOS,401.1,20:32:41
OTRO,969.3,20:32:42
OJOS,203.0,20:32:42
OTRO,6207.8,20:32:48
OJOS,319.1,20:32:49
OTRO,540.7,20:32:49
OJOS,1027.5,20:32:50
OTRO,207.2,20:32:50
OJOS,1463.9,20:32:52
OTRO,179.4,20:32:52
OJOS,533.7,20:32:53
OTRO,352.3,20:32:53
BOCA,173.4,20:32:53
OTRO,494.2,20:32:54
OJOS,325.7,20:32:54
OTRO,1272.9,20:32:55
OJOS,1162.8,20:32:56
OTRO,215.0,20:32:57
OJOS,153.9,20:32:57
BOCA,166.9,20:32:57
OJOS,1376.0,20:32:58
OTRO,370.3,20:32:59
OJOS,379.5,20:32:59
OTRO,168.8,20:32:59
OJOS,1280.8,20:33:00
BOCA,218.1,20:33:01
OTRO,4067.5,20:33:05
OJOS,169.5,20:33:05
OTRO,2549.8,20:33:07
OJOS,895.1,20:33:08
BOCA,336.4,20:33:09
OJOS,180.7,20:33:09
OTRO,535.0,20:33:09
OJOS,519.6,20:33:10
OTRO,4503.2,20:33:14
