zona,duracion_ms,timestamp
OTRO,137.8,23:01:16
OTRO,144.6,23:01:16
OTRO,798.9,23:01:17
OTRO,800.6,23:01:18
OTRO,560.3,23:01:18
OTRO,992.3,23:01:19
OJOS,336.3,23:01:20
OJOS,144.4,23:01:20
OTRO,626.2,23:01:21
OTRO,1055.5,23:01:22
OJOS,191.8,23:01:22
OTRO,208.9,23:01:22
OJOS,336.0,23:01:23
OTRO,2538.4,23:01:25
OTRO,294.5,23:01:26
OTRO,143.3,23:01:26
OJOS,865.1,23:01:27
OTRO,161.2,23:01:27
OTRO,129.0,23:01:27
OTRO,1053.9,23:01:29
OTRO,128.1,23:01:29
OTRO,401.5,23:01:29
OJOS,525.4,23:01:30
OTRO,1200.1,23:01:31
BOCA,128.0,23:01:31
OJOS,199.1,23:01:31
BOCA,120.8,23:01:32
OTRO,280.8,23:01:32
OJOS,401.7,23:01:32
OTRO,146.9,23:01:32
BOCA,125.1,23:01:33
OJOS,656.1,23:01:33
BOCA,253.4,23:01:34
OJOS,225.8,23:01:34
OTRO,3637.6,23:01:37
OTRO,8029.0,23:01:46
OTRO,975.3,23:01:47
OJOS,200.2,23:01:47
OTRO,451.1,23:01:48
