zona,duracion_ms,timestamp
OTRO,441.4,13:53:50
NARIZ,305.8,13:53:50
OTRO,839.5,13:53:51
BOCA,163.1,13:53:51
OTRO,2192.2,13:53:53
OJOS,147.5,13:53:53
OTRO,2773.6,13:53:56
NARIZ,152.2,13:53:56
OTRO,777.1,13:53:57
OJOS,132.7,13:53:57
OTRO,1389.5,13:53:58
BOCA,180.0,13:53:59
OJOS,175.4,13:53:59
OTRO,297.2,13:53:59
NARIZ,138.9,13:53:59
OTRO,407.4,13:54:00
BOCA,127.5,13:54:00
OTRO,159.7,13:54:00
BOCA,439.5,13:54:00
OTRO,151.2,13:54:01
NARIZ,150.8,13:54:01
OTRO,282.9,13:54:01
BOCA,617.3,13:54:02
OTRO,1365.3,13:54:03
OJOS,165.1,13:54:03
OTRO,783.7,13:54:04
OJOS,776.2,13:54:05
OTRO,1393.4,13:54:06
OJOS,175.9,13:54:06
OTRO,670.9,13:54:07
NARIZ,128.6,13:54:07
OJOS,149.2,13:54:07
OTRO,907.2,13:54:08
OJOS,131.9,13:54:08
BOCA,149.1,13:54:08
OJOS,610.7,13:54:09
OTRO,3900.7,13:54:13
BOCA,284.5,13:54:13
NARIZ,300.8,13:54:14
OTRO,413.1,13:54:14
OJOS,135.3,13:54:14
BOCA,529.0,13:54:15
NARIZ,130.0,13:54:15
OTRO,140.5,13:54:15
OJOS,149.5,13:54:15
OTRO,1077.1,13:54:16
BOCA,414.6,13:54:16
OTRO,549.6,13:54:17
OJOS,409.1,13:54:17
OTRO,304.1,13:54:18
OJOS,463.7,13:54:18
OTRO,164.7,13:54:18
OJOS,307.1,13:54:19
OTRO,1765.9,13:54:20
BOCA,137.5,13:54:21
OTRO,297.7,13:54:21
OJOS,731.4,13:54:22
OTRO,443.0,13:54:22
BOCA,423.9,13:54:22
OTRO,301.2,13:54:23
OJOS,126.3,13:54:23
OTRO,1780.0,13:54:25
BOCA,275.4,13:54:25
OTRO,271.4,13:54:25
OJOS,1111.4,13:54:26
OTRO,151.8,13:54:27
OJOS,175.3,13:54:27
OTRO,691.1,13:54:27
OJOS,299.4,13:54:28
BOCA,133.0,13:54:28
OTRO,161.5,13:54:28
NARIZ,140.8,13:54:28
BOCA,144.7,13:54:28
OTRO,162.7,13:54:28
NARIZ,140.2,13:54:29
BOCA,141.4,13:54:29
OTRO,709.9,13:54:29
OJOS,156.7,13:54:30
BOCA,152.5,13:54:30
OTRO,288.7,13:54:30
BOCA,162.1,13:54:30
OTRO,2431.6,13:54:33
OJOS,133.0,13:54:33
OTRO,5517.9,13:54:38
