zona,duracion_ms,timestamp
OTRO,2222.8,23:29:26
OJOS,127.9,23:29:26
OTRO,272.2,23:29:27
OJOS,128.4,23:29:27
OTRO,753.9,23:29:27
OJOS,109.6,23:29:28
OTRO,400.0,23:29:28
OJOS,144.1,23:29:28
OTRO,127.9,23:29:28
OJOS,272.3,23:29:28
OTRO,463.7,23:29:29
OJOS,135.7,23:29:29
OTRO,3128.5,23:29:32
OJOS,238.9,23:29:32
OTRO,225.4,23:29:33
OJOS,127.5,23:29:33
OTRO,14336.3,23:29:47
OJOS,671.9,23:29:48
OTRO,655.9,23:29:48
OJOS,741.5,23:29:49
OTRO,10714.5,23:30:00
OJOS,526.4,23:30:00
OTRO,577.6,23:30:01
OJOS,128.0,23:30:01
OTRO,1295.5,23:30:02
OJOS,121.2,23:30:03
OTRO,391.3,23:30:03
OJOS,159.9,23:30:03
OTRO,399.9,23:30:04
OJOS,127.7,23:30:04
