zona,duracion_ms,timestamp
OTRO,1128.6,23:22:55
OJOS,222.1,23:22:55
OTRO,243.2,23:22:55
OJOS,1870.5,23:22:57
OTRO,802.1,23:22:58
OJOS,591.0,23:22:59
OTRO,116.4,23:22:59
OJOS,117.7,23:22:59
OTRO,218.2,23:22:59
OJOS,107.2,23:22:59
OTRO,628.9,23:23:00
OJOS,1664.0,23:23:02
OTRO,2971.7,23:23:05
OJOS,102.4,23:23:05
OTRO,378.1,23:23:05
OJOS,121.7,23:23:05
OTRO,229.9,23:23:05
OJOS,692.5,23:23:06
OTRO,254.9,23:23:06
OJOS,1204.0,23:23:07
OTRO,118.3,23:23:08
OJOS,1148.9,23:23:09
OTRO,714.7,23:23:09
OJOS,105.0,23:23:10
OTRO,128.9,23:23:10
OJOS,247.5,23:23:10
OTRO,750.2,23:23:11
OJOS,136.4,23:23:11
OTRO,662.7,23:23:12
OJOS,400.5,23:23:12
OTRO,434.2,23:23:12
OJOS,801.2,23:23:13
OTRO,1665.5,23:23:15
OJOS,332.1,23:23:15
OTRO,700.2,23:23:16
OJOS,102.9,23:23:16
OTRO,1085.4,23:23:17
OJOS,467.0,23:23:17
OTRO,100.7,23:23:18
OJOS,114.9,23:23:18
