zona,duracion_ms,timestamp
NARIZ,169.9,10:52:55
BOCA,194.7,10:52:56
OJOS,806.3,10:52:56
BOCA,252844.3,10:57:09
OJOS,193.5,10:57:09
OTRO,189.1,10:57:10
OJOS,411.9,10:57:10
OTRO,192.2,10:57:10
OJOS,387.6,10:57:11
OTRO,613.9,10:57:11
OJOS,1412.2,10:57:13
OTRO,421.3,10:57:13
OJOS,374.8,10:57:13
OTRO,194.4,10:57:14
OJOS,551.4,10:57:14
OTRO,758.0,10:57:15
OJOS,899.5,10:57:16
OTRO,392.0,10:57:16
OJOS,183.0,10:57:16
OTRO,217.3,10:57:17
BOCA,170.5,10:57:17
NARIZ,1519.6,10:57:18
BOCA,225.5,10:57:19
NARIZ,4700.5,10:57:23
BOCA,356.8,10:57:24
OTRO,1924.6,10:57:26
BOCA,557.4,10:57:26
NARIZ,177.8,10:57:26
BOCA,999.4,10:57:27
OJOS,1008.8,10:57:28
OTRO,374.8,10:57:29
OJOS,349.2,10:57:29
OTRO,370.1,10:57:29
BOCA,197.1,10:57:30
OTRO,200.7,10:57:30
OJOS,861.9,10:57:31
OTRO,187.1,10:57:31
OJOS,1867.0,10:57:33
NARIZ,390.9,10:57:33
OJOS,176.0,10:57:33
BOCA,583.7,10:57:34
OTRO,173.5,10:57:34
BOCA,208.1,10:57:34
OTRO,180.5,10:57:34
OJOS,728.0,10:57:35
OTRO,215.8,10:57:35
BOCA,357.6,10:57:36
OJOS,1152.5,10:57:37
OTRO,910.4,10:57:38
OJOS,179.0,10:57:38
OTRO,231.1,10:57:38
OJOS,218.7,10:57:38
OTRO,1845.6,10:57:40
NARIZ,538.0,10:57:41
OTRO,1746.4,10:57:43
OJOS,1137.0,10:57:44
OTRO,177.9,10:57:44
NARIZ,922.3,10:57:45
OTRO,294.5,10:57:45
OJOS,378.6,10:57:45
OTRO,204.2,10:57:46
OJOS,1512.6,10:57:47
BOCA,363.6,10:57:48
OTRO,175.2,10:57:48
BOCA,568.9,10:57:48
OTRO,1193.6,10:57:49
OJOS,347.9,10:57:50
OTRO,593.3,10:57:50
OJOS,2450.0,10:57:53
OTRO,1666.7,10:57:55
OJOS,1133.8,10:57:56
OTRO,182.6,10:57:56
OJOS,3399.2,10:57:59
OTRO,2634.9,10:58:02
OJOS,850.9,10:58:03
BOCA,566.7,10:58:03
OJOS,199.7,10:58:03
OTRO,183.2,10:58:04
OJOS,566.2,10:58:04
OTRO,1717.7,10:58:06
OJOS,199.5,10:58:06
OTRO,200.1,10:58:06
OJOS,566.5,10:58:07
OTRO,200.0,10:58:07
OJOS,200.1,10:58:07
OTRO,1166.4,10:58:08
OJOS,200.2,10:58:09
OTRO,232.8,10:58:09
OJOS,365.1,10:58:09
OTRO,200.4,10:58:09
OJOS,166.6,10:58:10
BOCA,167.8,10:58:10
OTRO,265.3,10:58:10
OJOS,1333.0,10:58:11
OTRO,200.5,10:58:12
OJOS,166.6,10:58:12
BOCA,166.8,10:58:12
OTRO,934.2,10:58:13
OJOS,932.4,10:58:14
OTRO,183.4,10:58:14
BOCA,565.8,10:58:15
OTRO,350.3,10:58:15
OJOS,600.5,10:58:16
OTRO,500.2,10:58:16
OJOS,182.9,10:58:16
OTRO,183.6,10:58:16
OJOS,2100.0,10:58:18
OTRO,549.5,10:58:19
OJOS,183.8,10:58:19
OTRO,200.2,10:58:19
OJOS,399.7,10:58:20
OTRO,200.3,10:58:20
OJOS,1115.9,10:58:21
OTRO,1517.1,10:58:23
OJOS,552.8,10:58:23
OTRO,913.1,10:58:24
OJOS,466.7,10:58:25
OTRO,167.0,10:58:25
OJOS,200.3,10:58:25
OTRO,200.0,10:58:25
OJOS,949.7,10:58:26
OTRO,183.8,10:58:26
OJOS,215.7,10:58:26
OTRO,751.2,10:58:27
OJOS,448.6,10:58:28
OTRO,233.7,10:58:28
OJOS,250.6,10:58:28
OTRO,2499.4,10:58:31
OJOS,217.3,10:58:31
OTRO,2998.7,10:58:34
OJOS,167.6,10:58:34
OTRO,1498.9,10:58:36
OJOS,366.8,10:58:36
OTRO,183.4,10:58:36
OJOS,200.2,10:58:36
OTRO,4516.3,10:58:41
OJOS,783.6,10:58:42
OTRO,816.2,10:58:42
OJOS,183.5,10:58:43
BOCA,350.1,10:58:43
OJOS,1099.9,10:58:44
OTRO,824.1,10:58:45
OJOS,192.7,10:58:45
