zona,duracion_ms,timestamp
OJOS,568.6,23:48:27
OTRO,174.1,23:48:28
OJOS,172.0,23:48:28
OTRO,1894.0,23:48:30
OJOS,529.2,23:48:30
OTRO,362.8,23:48:31
OJOS,672.1,23:48:31
OTRO,169.9,23:48:31
BOCA,331.8,23:48:32
OTRO,178.7,23:48:32
OJOS,504.9,23:48:32
OTRO,167.8,23:48:33
OJOS,503.6,23:48:33
OTRO,173.0,23:48:33
BOCA,503.5,23:48:34
OJOS,818.4,23:48:35
OTRO,172.2,23:48:35
OJOS,680.3,23:48:35
BOCA,325.1,23:48:36
OTRO,360.7,23:48:36
OJOS,155.9,23:48:36
OTRO,172.4,23:48:36
OJOS,217.5,23:48:37
OTRO,154.3,23:48:37
OJOS,173.9,23:48:37
OTRO,527.5,23:48:37
BOCA,170.9,23:48:38
OJOS,502.2,23:48:38
OTRO,330.4,23:48:38
BOCA,149.9,23:48:39
OJOS,2047.8,23:48:41
OTRO,176.6,23:48:41
OJOS,654.8,23:48:41
OTRO,698.9,23:48:42
OJOS,173.3,23:48:42
OTRO,171.9,23:48:43
OJOS,736.1,23:48:43
OTRO,155.7,23:48:43
OJOS,162.3,23:48:44
OTRO,1555.7,23:48:45
OJOS,686.4,23:48:46
BOCA,190.1,23:48:46
OJOS,1218.5,23:48:47
OTRO,4844.7,23:48:52
NARIZ,169.5,23:48:52
OTRO,677.5,23:48:53
OJOS,495.7,23:48:53
OTRO,3625.8,23:48:57
OJOS,163.1,23:48:57
BOCA,152.9,23:48:57
OJOS,158.8,23:48:58
OTRO,338.6,23:48:58
OJOS,324.6,23:48:58
OTRO,343.7,23:48:59
OJOS,663.2,23:48:59
OTRO,323.7,23:49:00
OJOS,671.0,23:49:00
OTRO,169.7,23:49:00
OJOS,322.6,23:49:01
BOCA,163.0,23:49:01
NARIZ,174.2,23:49:01
OJOS,152.8,23:49:01
OTRO,1427.0,23:49:03
OJOS,167.4,23:49:03
OTRO,1599.9,23:49:04
BOCA,155.5,23:49:05
NARIZ,214.6,23:49:05
