zona,duracion_ms,timestamp
OTRO,1001.5,23:53:20
BOCA,149.3,23:53:21
OJOS,168.2,23:53:21
OTRO,844.1,23:53:22
OJOS,706.7,23:53:22
OTRO,1164.7,23:53:23
OJOS,316.3,23:53:24
OTRO,502.6,23:53:24
OJOS,838.2,23:53:25
OTRO,1006.8,23:53:26
BOCA,164.7,23:53:26
OJOS,968.5,23:53:27
NARIZ,325.9,23:53:28
OJOS,688.7,23:53:28
OTRO,481.9,23:53:29
OJOS,681.2,23:53:29
OTRO,4606.3,23:53:34
OJOS,188.1,23:53:34
OTRO,184.8,23:53:34
OJOS,769.2,23:53:35
OTRO,668.5,23:53:36
OJOS,1156.7,23:53:37
OTRO,14852.8,23:53:52
BOCA,468.1,23:53:52
OTRO,333.6,23:53:53
OJOS,259.4,23:53:53
OTRO,363.1,23:53:53
OJOS,423.4,23:53:54
OTRO,814.4,23:53:55
OJOS,603.1,23:53:55
OTRO,4074.6,23:53:59
OJOS,271.6,23:53:59
OTRO,654.0,23:54:00
OJOS,387.6,23:54:01
OTRO,353.3,23:54:01
OJOS,687.6,23:54:02
OTRO,302.6,23:54:02
OJOS,297.6,23:54:02
OTRO,4178.5,23:54:06
OJOS,250.7,23:54:07
OTRO,1083.0,23:54:08
OJOS,898.0,23:54:09
OTRO,837.7,23:54:09
OJOS,1708.0,23:54:11
BOCA,443.4,23:54:12
OJOS,332.1,23:54:12
OTRO,348.6,23:54:12
OJOS,541.0,23:54:13
BOCA,559.0,23:54:13
OJOS,797.6,23:54:14
BOCA,802.8,23:54:15
OJOS,546.3,23:54:15
BOCA,520.4,23:54:16
OTRO,615.1,23:54:17
BOCA,264.5,23:54:17
OTRO,282.9,23:54:17
BOCA,304.6,23:54:17
OJOS,512.0,23:54:18
OTRO,1684.5,23:54:20
OJOS,242.9,23:54:20
BOCA,344.7,23:54:20
OJOS,718.6,23:54:21
BOCA,276.3,23:54:21
OTRO,1190.9,23:54:22
OJOS,480.7,23:54:23
OTRO,2514.3,23:54:25
OJOS,549.3,23:54:26
OTRO,265.3,23:54:26
OJOS,573.1,23:54:27
OTRO,304.3,23:54:27
OJOS,1092.6,23:54:28
OTRO,1408.5,23:54:30
OJOS,397.7,23:54:30
OTRO,697.0,23:54:31
OJOS,391.4,23:54:31
OTRO,2684.9,23:54:34
OJOS,566.8,23:54:34
OTRO,1021.4,23:54:35
OJOS,529.2,23:54:36
OTRO,1079.8,23:54:37
OJOS,240.2,23:54:37
OTRO,1005.9,23:54:38
OJOS,262.1,23:54:39
OTRO,442.2,23:54:39
BOCA,301.3,23:54:39
OJOS,301.9,23:54:40
OTRO,328.6,23:54:40
OJOS,591.4,23:54:40
OTRO,357.6,23:54:41
OJOS,257.4,23:54:41
OTRO,3500.6,23:54:45
BOCA,262.8,23:54:45
OJOS,502.3,23:54:45
NARIZ,532.9,23:54:46
OTRO,517.8,23:54:46
OJOS,532.3,23:54:47
OTRO,249.9,23:54:47
OJOS,1616.8,23:54:49
OTRO,1302.3,23:54:50
OJOS,330.8,23:54:50
OTRO,295.5,23:54:51
BOCA,248.5,23:54:51
OJOS,1262.4,23:54:52
OTRO,226.5,23:54:52
OJOS,263.2,23:54:53
OTRO,219.1,23:54:53
OJOS,250.2,23:54:53
BOCA,619.6,23:54:54
OJOS,282.5,23:54:54
OTRO,4187.8,23:54:58
