zona,duracion_ms,timestamp
OTRO,11030.4,23:19:13
OJOS,100.4,23:19:13
OTRO,108.6,23:19:13
OJOS,365.0,23:19:13
OTRO,108.6,23:19:13
OJOS,110.7,23:19:14
OTRO,243.7,23:19:14
OJOS,102.2,23:19:14
OTRO,1716.5,23:19:16
OJOS,504.9,23:19:16
OTRO,448.1,23:19:17
OJOS,404.0,23:19:17
OTRO,796.1,23:19:18
OJOS,109.5,23:19:18
OTRO,1723.8,23:19:20
OJOS,599.3,23:19:20
OTRO,104.1,23:19:20
OJOS,2245.2,23:19:22
OTRO,449.8,23:19:23
OJOS,121.5,23:19:23
OTRO,544.7,23:19:24
OJOS,117.4,23:19:24
OTRO,100.6,23:19:24
OJOS,499.3,23:19:24
OTRO,706.7,23:19:25
OJOS,963.0,23:19:26
OTRO,1136.3,23:19:27
OJOS,157.3,23:19:27
OTRO,203.4,23:19:27
OJOS,229.9,23:19:28
OTRO,104.6,23:19:28
OJOS,132.2,23:19:28
OTRO,130.7,23:19:28
OJOS,136.2,23:19:28
OTRO,595.0,23:19:29
OJOS,245.5,23:19:29
NARIZ,127.3,23:19:29
OJOS,365.3,23:19:30
OTRO,503.2,23:19:30
OJOS,123.3,23:19:30
OTRO,705.4,23:19:31
OJOS,125.9,23:19:31
OTRO,274.3,23:19:31
OJOS,1231.8,23:19:33
OTRO,100.6,23:19:33
OJOS,266.1,23:19:33
OTRO,831.3,23:19:34
OJOS,486.2,23:19:34
OTRO,1845.8,23:19:36
OJOS,453.4,23:19:37
OTRO,123.1,23:19:37
OJOS,260.3,23:19:37
OTRO,1467.4,23:19:38
OJOS,250.3,23:19:39
OTRO,347.4,23:19:39
OJOS,119.9,23:19:39
OTRO,215.1,23:19:39
OJOS,362.0,23:19:40
OTRO,225.5,23:19:40
OJOS,241.8,23:19:40
OTRO,337.9,23:19:40
OJOS,250.1,23:19:41
OTRO,515.5,23:19:41
OJOS,131.1,23:19:41
OTRO,127.5,23:19:41
OJOS,142.1,23:19:42
OTRO,131.4,23:19:42
OJOS,397.7,23:19:42
OTRO,129.7,23:19:42
OJOS,141.9,23:19:42
OTRO,3587.4,23:19:46
OJOS,1462.6,23:19:47
OTRO,1918.7,23:19:49
OJOS,360.6,23:19:50
OTRO,131.3,23:19:50
OJOS,125.4,23:19:50
OTRO,2830.1,23:19:53
OJOS,146.3,23:19:53
OTRO,109.3,23:19:53
OJOS,291.2,23:19:53
OTRO,1699.2,23:19:55
OJOS,225.2,23:19:55
OTRO,250.6,23:19:56
OJOS,242.1,23:19:56
