zona,duracion_ms,timestamp
OJOS,227.1,16:12:31
OTRO,226.7,16:12:32
OJOS,2740.3,16:12:34
OTRO,203.3,16:12:35
OJOS,1443.5,16:12:36
OTRO,302.3,16:12:36
OJOS,3735.6,16:12:40
OTRO,398.0,16:12:41
OJOS,2387.5,16:12:43
OTRO,130.3,16:12:43
OJOS,1319.5,16:12:44
OTRO,331.1,16:12:45
OJOS,4894.3,16:12:50
OTRO,154.0,16:12:50
OJOS,1165.7,16:12:51
OTRO,136.2,16:12:51
OJOS,930.4,16:12:52
OTRO,302.7,16:12:52
OJOS,628.3,16:12:53
OTRO,1068.6,16:12:54
OJOS,135.6,16:12:54
OTRO,449.3,16:12:55
OJOS,479.4,16:12:55
OTRO,153.8,16:12:55
OJOS,313.0,16:12:55
OTRO,453.2,16:12:56
OJOS,275.2,16:12:56
OTRO,137.2,16:12:56
OJOS,138.4,16:12:57
OTRO,145.7,16:12:57
OJOS,155.5,16:12:57
OTRO,657.9,16:12:57
OJOS,156.4,16:12:58
OTRO,481.5,16:12:58
OJOS,148.2,16:12:58
OTRO,316.1,16:12:59
OJOS,2837.5,16:13:01
OTRO,472.8,16:13:02
OJOS,527.9,16:13:02
BOCA,282.0,16:13:03
OJOS,163.3,16:13:03
OTRO,169.6,16:13:03
OJOS,186.0,16:13:03
BOCA,143.0,16:13:03
OJOS,272.3,16:13:04
OTRO,2331.9,16:13:06
OJOS,167.7,16:13:06
OTRO,149.9,16:13:06
OJOS,153.7,16:13:06
OTRO,151.5,16:13:07
OJOS,150.8,16:13:07
OTRO,299.9,16:13:07
OJOS,2915.2,16:13:10
OTRO,150.5,16:13:10
OJOS,446.0,16:13:11
OTRO,166.0,16:13:11
OJOS,290.7,16:13:11
OTRO,148.1,16:13:11
OJOS,465.5,16:13:12
OTRO,149.2,16:13:12
OJOS,168.2,16:13:12
OTRO,278.3,16:13:12
OJOS,304.2,16:13:13
NARIZ,151.8,16:13:13
OJOS,442.8,16:13:13
OTRO,1071.7,16:13:14
OJOS,138.9,16:13:14
OTRO,295.8,16:13:15
OJOS,149.1,16:13:15
OTRO,1049.5,16:13:16
OJOS,333.4,16:13:16
OTRO,300.2,16:13:16
OJOS,3628.7,16:13:20
OTRO,275.3,16:13:20
OJOS,340.0,16:13:21
OTRO,135.5,16:13:21
OJOS,164.4,16:13:21
OTRO,194.8,16:13:21
OJOS,906.8,16:13:22
OTRO,460.8,16:13:23
OJOS,162.4,16:13:23
OTRO,464.5,16:13:23
OJOS,133.8,16:13:23
OTRO,132.2,16:13:23
OJOS,131.8,16:13:24
NARIZ,150.4,16:13:24
OTRO,279.3,16:13:24
OJOS,149.9,16:13:24
OTRO,140.9,16:13:24
OJOS,137.7,16:13:24
OTRO,439.5,16:13:25
NARIZ,314.3,16:13:25
OTRO,299.7,16:13:25
OJOS,153.0,16:13:26
OTRO,441.6,16:13:26
OJOS,133.6,16:13:26
OTRO,140.2,16:13:26
OJOS,166.8,16:13:27
OTRO,466.8,16:13:27
OJOS,413.6,16:13:27
OTRO,908.6,16:13:28
OJOS,480.5,16:13:29
OTRO,1154.7,16:13:30
OJOS,492.8,16:13:30
OTRO,434.5,16:13:31
OJOS,165.6,16:13:31
OTRO,949.7,16:13:32
OJOS,783.7,16:13:33
OTRO,150.2,16:13:33
NARIZ,131.1,16:13:33
OTRO,149.6,16:13:33
OJOS,435.5,16:13:34
OTRO,1396.1,16:13:35
OJOS,339.5,16:13:35
OTRO,455.5,16:13:36
OJOS,310.4,16:13:36
OTRO,168.8,16:13:36
OJOS,478.2,16:13:37
OTRO,152.2,16:13:37
OJOS,1221.8,16:13:38
OTRO,909.2,16:13:39
OJOS,279.2,16:13:39
OTRO,307.1,16:13:40
OJOS,148.1,16:13:40
OTRO,156.2,16:13:40
OJOS,160.8,16:13:40
OTRO,152.3,16:13:40
OJOS,146.9,16:13:40
OTRO,658.2,16:13:41
OJOS,159.7,16:13:41
OTRO,327.5,16:13:42
OJOS,155.5,16:13:42
OTRO,304.2,16:13:42
OJOS,147.3,16:13:42
OTRO,413.6,16:13:43
BOCA,159.6,16:13:43
OJOS,298.4,16:13:43
OTRO,142.9,16:13:43
OJOS,1936.7,16:13:45
OTRO,145.0,16:13:45
OJOS,143.1,16:13:45
OTRO,157.4,16:13:46
OJOS,289.1,16:13:46
OTRO,882.6,16:13:47
OJOS,128.2,16:13:47
OTRO,1190.7,16:13:48
OJOS,499.3,16:13:49
OTRO,295.8,16:13:49
OJOS,143.5,16:13:49
OTRO,126.9,16:13:49
OJOS,597.2,16:13:50
OTRO,144.1,16:13:50
OJOS,171.0,16:13:50
OTRO,669.0,16:13:51
OJOS,145.9,16:13:51
OTRO,449.5,16:13:51
OJOS,165.6,16:13:51
OTRO,1053.5,16:13:53
OJOS,150.6,16:13:53
OTRO,141.4,16:13:53
OJOS,1972.1,16:13:55
BOCA,150.2,16:13:55
OTRO,165.6,16:13:55
OJOS,4534.0,16:14:00
OTRO,2235.3,16:14:02
OJOS,182.6,16:14:02
OTRO,285.4,16:14:02
OJOS,417.7,16:14:03
OTRO,329.6,16:14:03
OJOS,316.4,16:14:03
OTRO,1094.2,16:14:04
OJOS,638.1,16:14:05
BOCA,167.3,16:14:05
OJOS,333.6,16:14:06
OTRO,317.4,16:14:06
OJOS,1399.8,16:14:07
OTRO,315.8,16:14:08
OJOS,501.7,16:14:08
OTRO,149.8,16:14:08
OJOS,531.9,16:14:09
OTRO,466.7,16:14:09
OJOS,306.2,16:14:10
OTRO,163.9,16:14:10
OJOS,894.9,16:14:11
OTRO,157.0,16:14:11
OJOS,316.0,16:14:11
OTRO,162.4,16:14:11
OJOS,1190.2,16:14:13
OTRO,327.9,16:14:13
OJOS,165.1,16:14:13
OTRO,155.7,16:14:13
OJOS,1015.7,16:14:14
OTRO,148.2,16:14:14
OJOS,1702.1,16:14:16
OTRO,200.2,16:14:16
OJOS,763.0,16:14:17
OTRO,180.2,16:14:17
OJOS,134.9,16:14:17
OTRO,153.4,16:14:17
OJOS,161.4,16:14:18
OTRO,146.4,16:14:18
OJOS,886.9,16:14:19
OTRO,462.0,16:14:19
OJOS,1058.1,16:14:20
OTRO,704.1,16:14:21
OJOS,292.0,16:14:21
OTRO,472.7,16:14:22
OJOS,780.2,16:14:22
OTRO,167.2,16:14:23
OJOS,796.2,16:14:23
OTRO,318.6,16:14:24
OJOS,165.6,16:14:24
OTRO,770.2,16:14:25
BOCA,167.6,16:14:25
OJOS,831.3,16:14:26
OTRO,146.8,16:14:26
OJOS,488.6,16:14:26
OTRO,333.3,16:14:27
OJOS,379.1,16:14:27
OTRO,170.3,16:14:27
