zona,duracion_ms,timestamp
OTRO,734.3,22:57:46
OJOS,105.0,22:57:46
OJOS,1600.6,22:57:48
OJOS,223.8,22:57:48
OJOS,1946.8,22:57:50
OJOS,197.1,22:57:50
OJOS,127.9,22:57:50
OJOS,129.2,22:57:51
OTRO,430.9,22:57:51
OJOS,201.4,22:57:51
OJOS,1531.6,22:57:53
OTRO,292.7,22:57:54
OJOS,3292.7,22:57:57
OJOS,703.8,22:57:58
NARIZ,400.7,22:57:58
OJOS,176.3,22:57:58
OTRO,318.8,22:57:59
OTRO,127.0,22:57:59
OTRO,1077.8,22:58:00
OJOS,1534.9,22:58:02
OTRO,1023.7,22:58:03
OJOS,1315.3,22:58:04
OJOS,458.1,22:58:05
OJOS,855.3,22:58:06
OTRO,245.2,22:58:06
OTRO,745.5,22:58:07
