zona,duracion_ms,timestamp
OTRO,893.3,22:59:47
OTRO,799.4,22:59:47
OTRO,527.8,22:59:48
OJOS,519.2,22:59:49
OJOS,124.1,22:59:49
OTRO,524.2,22:59:50
OJOS,128.2,22:59:50
OTRO,207.8,22:59:50
OTRO,191.1,22:59:50
OTRO,287.8,22:59:51
OTRO,150.8,22:59:51
OJOS,617.6,22:59:51
OTRO,241.1,22:59:52
OTRO,271.6,22:59:52
OTRO,207.9,22:59:52
OJOS,464.3,22:59:53
OTRO,109.0,22:59:53
OTRO,336.2,22:59:53
OJOS,2289.6,22:59:56
OJOS,145.8,22:59:56
OJOS,192.8,22:59:56
OTRO,527.3,22:59:57
OJOS,179.9,22:59:57
OTRO,206.7,22:59:57
OJOS,222.9,22:59:58
OTRO,303.9,22:59:58
OTRO,174.9,22:59:58
OTRO,160.1,22:59:58
OTRO,189.8,22:59:59
OJOS,176.7,22:59:59
OJOS,159.8,22:59:59
OTRO,601.1,23:00:00
OJOS,720.0,23:00:00
OTRO,639.3,23:00:01
OJOS,1547.9,23:00:03
OTRO,132.0,23:00:03
OJOS,501.5,23:00:03
OTRO,301.8,23:00:04
OTRO,238.5,23:00:04
OTRO,158.7,23:00:04
OTRO,133.8,23:00:05
OTRO,685.0,23:00:05
OTRO,110.1,23:00:06
OTRO,148.3,23:00:06
OTRO,444.3,23:00:06
