zona,duracion_ms,timestamp
OTRO,253.9,10:40:19
OJOS,265.3,10:40:19
OTRO,249.6,10:40:19
OJOS,550.8,10:40:20
OTRO,728.5,10:40:21
OJOS,704.1,10:40:21
OTRO,7675.6,10:40:29
BOCA,143.6,10:40:29
OTRO,417.6,10:40:30
OJOS,160.3,10:40:30
OTRO,3657.2,10:40:34
OJOS,1026.5,10:40:35
BOCA,139.7,10:40:35
OJOS,857.2,10:40:36
BOCA,121.3,10:40:36
OJOS,416.2,10:40:36
OTRO,121.6,10:40:36
OJOS,679.5,10:40:37
OTRO,121.0,10:40:37
OJOS,578.3,10:40:38
OTRO,280.7,10:40:38
OJOS,300.3,10:40:38
OTRO,428.4,10:40:39
OJOS,592.1,10:40:39
OTRO,295.9,10:40:39
OJOS,551.5,10:40:40
OTRO,136.4,10:40:40
OJOS,296.7,10:40:40
OTRO,319.0,10:40:41
OJOS,146.2,10:40:41
OTRO,303.3,10:40:41
OJOS,147.9,10:40:41
OTRO,142.9,10:40:42
OJOS,460.4,10:40:42
OTRO,308.3,10:40:42
OJOS,153.7,10:40:42
OTRO,323.6,10:40:43
OJOS,151.1,10:40:43
OTRO,1757.9,10:40:45
OJOS,149.8,10:40:45
OTRO,151.7,10:40:45
OJOS,133.7,10:40:45
OTRO,150.2,10:40:45
OJOS,149.0,10:40:45
OTRO,1859.5,10:40:47
OJOS,160.8,10:40:47
OTRO,160.0,10:40:48
OJOS,297.9,10:40:48
OTRO,673.9,10:40:49
BOCA,137.2,10:40:49
OTRO,1406.4,10:40:50
OJOS,540.7,10:40:51
OTRO,168.4,10:40:51
OJOS,449.7,10:40:51
OTRO,649.1,10:40:52
OJOS,632.3,10:40:53
OTRO,481.6,10:40:53
OJOS,502.6,10:40:54
BOCA,373.1,10:40:54
OJOS,608.6,10:40:55
OTRO,401.3,10:40:55
OJOS,785.3,10:40:56
OTRO,212.9,10:40:56
OJOS,414.4,10:40:56
BOCA,316.7,10:40:57
OJOS,1470.1,10:40:58
BOCA,298.1,10:40:58
OJOS,165.8,10:40:59
BOCA,166.2,10:40:59
OJOS,499.0,10:40:59
OTRO,306.3,10:41:00
OJOS,482.6,10:41:00
BOCA,815.7,10:41:01
OTRO,165.7,10:41:01
BOCA,150.1,10:41:01
OJOS,616.2,10:41:02
OTRO,1483.6,10:41:03
OJOS,332.0,10:41:04
OTRO,1268.6,10:41:05
OJOS,299.6,10:41:05
OTRO,1047.1,10:41:06
OJOS,422.6,10:41:07
OTRO,293.0,10:41:07
OJOS,150.2,10:41:07
OTRO,1261.2,10:41:08
OJOS,154.7,10:41:08
OTRO,5942.4,10:41:14
OJOS,144.6,10:41:15
OTRO,13811.8,10:41:28
BOCA,523.6,10:41:29
NARIZ,307.3,10:41:29
BOCA,166.9,10:41:29
OJOS,155.4,10:41:30
OTRO,317.2,10:41:30
OJOS,282.5,10:41:30
BOCA,301.9,10:41:30
OJOS,1199.8,10:41:32
OTRO,360.5,10:41:32
BOCA,154.0,10:41:32
OJOS,1095.3,10:41:33
OTRO,489.6,10:41:34
OJOS,148.6,10:41:34
OTRO,1315.4,10:41:35
OJOS,163.0,10:41:35
