zona,duracion_ms,timestamp
NARIZ,204.0,18:11:24
OJOS,370.3,18:11:25
OTRO,125.8,18:11:25
OJOS,931.7,18:11:26
OTRO,402.7,18:11:26
OJOS,138.7,18:11:26
OTRO,143.3,18:11:27
OJOS,140.4,18:11:27
BOCA,123.0,18:11:27
OJOS,763.8,18:11:28
OTRO,129.0,18:11:28
OJOS,285.3,18:11:28
OTRO,713.9,18:11:29
OJOS,282.9,18:11:29
OTRO,143.4,18:11:29
OJOS,272.9,18:11:29
OTRO,147.2,18:11:30
OJOS,147.9,18:11:30
OTRO,1382.3,18:11:31
OJOS,125.6,18:11:31
OTRO,830.1,18:11:32
OJOS,162.8,18:11:32
OTRO,2216.7,18:11:34
OJOS,157.8,18:11:35
OTRO,137.8,18:11:35
OJOS,314.5,18:11:35
OTRO,935.5,18:11:36
OJOS,153.8,18:11:36
OTRO,155.0,18:11:36
OJOS,156.9,18:11:36
OTRO,796.6,18:11:37
OJOS,318.0,18:11:38
OTRO,156.6,18:11:38
OJOS,147.4,18:11:38
OTRO,1234.5,18:11:39
OJOS,164.3,18:11:39
OTRO,1017.2,18:11:40
OJOS,136.6,18:11:40
OTRO,1933.7,18:11:42
OJOS,282.2,18:11:43
OTRO,616.8,18:11:43
OJOS,1445.4,18:11:45
OTRO,612.1,18:11:45
OJOS,178.5,18:11:45
OTRO,597.8,18:11:46
OJOS,151.1,18:11:46
OTRO,908.1,18:11:47
OJOS,137.9,18:11:47
OTRO,3383.2,18:11:51
OJOS,170.5,18:11:51
OTRO,3333.4,18:11:54
OJOS,152.0,18:11:54
OTRO,445.3,18:11:55
OJOS,317.6,18:11:55
OTRO,5932.9,18:12:01
OJOS,698.0,18:12:02
OTRO,169.7,18:12:02
OJOS,284.3,18:12:02
OTRO,2732.9,18:12:05
OJOS,217.9,18:12:05
BOCA,16361.7,18:12:21
OJOS,524.3,18:12:22
OTRO,392.6,18:12:22
NARIZ,196.2,18:12:23
OJOS,185.9,18:12:23
BOCA,197.0,18:12:23
OTRO,186.5,18:12:23
OJOS,167.0,18:12:23
OTRO,789.3,18:12:24
OJOS,144.4,18:12:24
OTRO,3632.5,18:12:28
OJOS,137.6,18:12:28
OTRO,1214.8,18:12:29
OJOS,151.7,18:12:29
OTRO,666.3,18:12:30
OJOS,147.7,18:12:30
OTRO,656.9,18:12:31
OJOS,165.6,18:12:31
OTRO,162.9,18:12:31
OJOS,147.6,18:12:31
OTRO,1589.9,18:12:33
OJOS,460.1,18:12:33
OTRO,3011.4,18:12:36
OJOS,1379.0,18:12:38
OTRO,1715.7,18:12:39
OJOS,158.3,18:12:40
OTRO,311.0,18:12:40
OJOS,159.0,18:12:40
OTRO,1333.8,18:12:41
OJOS,337.6,18:12:42
OTRO,1111.1,18:12:43
OJOS,139.4,18:12:43
OTRO,1358.9,18:12:44
OJOS,323.8,18:12:45
OTRO,379.8,18:12:45
OJOS,145.3,18:12:45
OTRO,8418.6,18:12:54
OJOS,141.3,18:12:54
OTRO,1260.2,18:12:55
OJOS,313.4,18:12:55
OTRO,134.3,18:12:56
OJOS,184.5,18:12:56
OTRO,900.6,18:12:57
OJOS,200.5,18:12:57
